STATE,FACILITY_NAME,ORISPL_CODE,UNITID,OP_DATE,OP_HOUR,OP_TIME,GLOAD (MW),HG_RATE_EO (lb/GWh),HG_RATE_HI (lb/TBtu),HG_MASS (lbs),HG_MEASURE_FLG,HCL_RATE_EO (lb/MWh),HCL_RATE_HI (lb/MMBtu),HCL_MASS (lbs),HCL_MEASURE_FLG,HF_RATE_EO (lb/MWh),HF_RATE_HI (lb/MMBtu),HF_MASS (lbs),HF_MEASURE_FLG,HEAT_INPUT (mmBtu),FAC_ID,UNIT_ID,OP_DATE_TIME
CO,Rawhide Energy Station,6761,101,02-01-2015,0,1.0,200.0,0.00825,0.9518315545999999,0.00165,Measured,,,,,,,,,1733.5,875,2906,2015-02-01 00:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,1,1.0,200.0,0.00853,0.9806852148999999,0.0017059999999999998,Measured,,,,,,,,,1739.6,875,2906,2015-02-01 01:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,2,1.0,209.0,0.0089,1.0035608308,0.0018601,Measured,,,,,,,,,1853.5,875,2906,2015-02-01 02:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,3,1.0,210.0,0.00946,1.0657153585999999,0.0019866,Measured,,,,,,,,,1864.1,875,2906,2015-02-01 03:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,4,1.0,210.0,0.009340000000000001,1.0452995096,0.0019614,Measured,,,,,,,,,1876.4,875,2906,2015-02-01 04:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,5,1.0,210.0,0.0101,1.1327102803,0.002121,Measured,,,,,,,,,1872.5,875,2906,2015-02-01 05:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,6,1.0,200.0,0.00919,1.0442588489,0.001838,Measured,,,,,,,,,1760.1,875,2906,2015-02-01 06:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,7,1.0,209.0,0.0076,0.8582698437999999,0.0015884,Measured,,,,,,,,,1850.7,875,2906,2015-02-01 07:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,8,1.0,210.0,0.00685,0.7763086886,0.0014385,Measured,,,,,,,,,1853.0,875,2906,2015-02-01 08:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,9,1.0,218.0,0.00787,0.8997587581000001,0.00171566,Measured,,,,,,,,,1906.8,875,2906,2015-02-01 09:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,10,1.0,202.0,0.006659999999999999,0.7552461684999999,0.00134532,Measured,,,,,,,,,1781.3,875,2906,2015-02-01 10:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,11,1.0,199.0,0.006679999999999999,0.7553812933,0.00132932,Measured,,,,,,,,,1759.8,875,2906,2015-02-01 11:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,12,1.0,199.0,0.00673,0.7651659715000001,0.00133927,Measured,,,,,,,,,1750.3,875,2906,2015-02-01 12:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,13,1.0,200.0,0.00645,0.7344150298000001,0.0012900000000000001,Measured,,,,,,,,,1756.5,875,2906,2015-02-01 13:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,14,1.0,200.0,0.006840000000000001,0.7762142531999999,0.001368,Measured,,,,,,,,,1762.4,875,2906,2015-02-01 14:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,15,1.0,216.0,0.00755,0.8507486045,0.0016308,Measured,,,,,,,,,1916.9,875,2906,2015-02-01 15:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,16,1.0,240.0,0.00937,1.0473174366,0.0022488000000000005,Measured,,,,,,,,,2147.2,875,2906,2015-02-01 16:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,17,1.0,299.0,0.0131,1.4465248541,0.0039169,Measured,,,,,,,,,2707.8,875,2906,2015-02-01 17:00:00
CO,Rawhide Energy Station,6761,101,02-01-2015,18,1.0,302.0,0.0111,1.2393522626,0.0033522,Measured,,,,,,,,,2704.8,875,2906,2015-02-01 18:00:00
