,Plant_ID,Boiler_ID,Fuel,Coal_Consumption,Plant_Boiler,Coal,Share_Selenium,Share_Arsenic,Share_Lead,Share_Mercury,Share_Chloride,Share_Boron,Share_Bromide,Share_Heat
1,3,1,BIT,0,3_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2,BIT,0,3_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,3,BIT,47895,3_3,47895,119.05197407550001,538.77535713,289.15725820162504,5.7353505759,19009.211189062502,1233.96936633,564.845132475,1209348750.0
7,3,4,BIT,751333,3_4,751333,1867.5785956377001,8451.815542302002,4536.034873711275,89.97093964386,298199.1370771875,19357.383983982,8860.774358865001,18971158250.0
9,3,5,BIT,1354720,3_5,1354720,3367.4097571680004,15239.372623680001,8178.872968596,162.2255795424,537679.47765,34903.07923488,15976.7616216,34206680000.0
19,7,1,BIT,8217,7_1,8217,20.424889257300002,92.433805398,49.608627009975,0.98397276714,3261.2733759375,211.70323171799998,96.906408885,207479250.0
22,7,2,BIT,0,7_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,10,BIT,1603643,8_10,1603643,2639.1786600649502,30223.0999129677,7412.81408264444,202.99825768359256,264546.4863060087,44716.94267726566,4838.603630338416,42114915479.87722
27,8,6,BIT,2825,8_6,2825,4.649214142227094,53.241436687675346,13.058517253198213,0.3576045777995159,466.0288005587744,78.77399337837379,8.52375201694269,74190225.77384938
29,8,7,BIT,6505,8_7,6505,10.70553557351761,122.59665332861172,30.069258312231636,0.82343992162331,1073.1034858884345,181.38931926595453,19.62725906910166,170834484.48102307
31,8,8,BIT,168504,8_8,168504,277.31369197233073,3175.715061104441,778.9070411443935,21.33019531947951,27797.421950214415,4698.666541674159,508.4199326948358,4425256567.7156515
33,8,9,BIT,166274,8_9,166274,273.6436928441302,3133.687307542135,768.5989018613378,21.04790922797759,27429.54788818041,4636.483884954239,501.69144880181557,4366692247.90125
35,10,1,BIT,487895,10_1,487895,1257.0153126330001,23900.99538105,2819.43223291275,87.63698306385001,62850.76563165,9936.61752415875,1345.537517748,12338864550.0
37,10,1,SUB,0,10_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,10,2,BIT,468175,10_2,468175,1206.208598145,22934.95221825,2705.47491907875,84.09482480025001,60310.42990725,9534.99402406875,1291.15286562,11840145750.0
40,10,2,SUB,0,10_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,26,1,BIT,128933,26_1,128933,248.83465578283545,1071.0392763590153,1477.1860438229005,10.689470618618259,31541.17675408823,13776.923900940654,761.3762150787729,3014990799.2002015
44,26,2,BIT,208930,26_2,208930,403.22512182845213,1735.5699162331528,2393.712084074043,17.32179578810632,51111.027116654805,22324.871915053016,1233.7751593184678,4885654003.838412
47,26,3,BIT,134943,26_3,134943,260.4336745077146,1120.9640128571787,1546.042644719301,11.187742732180308,33011.41689658139,14419.11257757622,796.866516651089,3155529642.6552763
50,26,4,BIT,62433,26_4,62433,120.4927680616271,518.6274665207698,715.2952019575682,5.176143571717044,15273.12858839855,6671.17564865029,368.67986656645724,1459943696.078321
53,26,5,BIT,2260448,26_5,2260448,4362.558848355338,18777.416101131468,25897.964356583554,187.4073548347933,552978.6006020587,241536.4575247105,13348.416174465669,52858693445.97967
56,47,1,BIT,333710,47_1,333710,1878.4479114101991,4335.972694025755,2678.0999146048284,60.41898401136007,205567.86637328536,11432.427488664296,5492.802192699043,8238505989.068568
58,47,1,SUB,0,47_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,47,2,BIT,321647,47_2,321647,1810.5454896807298,4179.235291466549,2581.291550246919,58.2349493581311,198136.9677725214,11019.16635535766,5294.247540903985,7940699217.482059
61,47,2,SUB,0,47_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,47,3,BIT,357478,47_3,357478,2012.2375789610596,4644.7959207543645,2868.8436105394053,64.72223657191266,220209.13288600673,12246.685187116764,5884.018885384521,8825281363.939508
64,47,3,SUB,0,47_3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,47,4,BIT,359584,47_4,359584,2024.0922171242248,4672.159675192704,2885.744747515096,65.10353284810432,221506.4447033995,12318.83373612976,5918.6832389185,8877273493.671846
67,47,4,SUB,0,47_4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,47,5,BIT,0,47_5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,50,7,BIT,781803,50_7,781803,1919.524671301014,15469.407786123978,15049.672163407899,51.10712709128177,195369.9669012255,86240.74097151561,4830.829316981107,17844666757.248825
72,50,8,BIT,0,50_8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,51,1,LIG,3593100,51_1,3593100,12777.65718012,11245.642161074999,3057.510825243,420.48922863150005,704074.987476,213830.18138159998,28065.211306334997,57166221000.0
77,56,1,BIT,3508,56_1,3508,7.580061374376554,54.93352485075653,64.00629226151878,0.23198315707500675,897.43820436,419.98703885445553,11.676820821709736,79842288.90595111
79,56,2,BIT,502928,56_2,502928,1086.7232345759553,7875.6008512375365,9176.327410063031,33.2585020585573,128662.14402576,60211.87043243831,1674.0593335863266,11446671230.014875
81,56,3,BIT,302119,56_3,302119,652.8165799216848,4731.032381523863,5512.405077468014,19.979053429972623,77289.94665423,36170.48580150206,1005.6412285730113,6876246431.578404
84,59,1,SUB,360619,59_1,360619,389.30629554285,737.719072646325,1338.03592333635,41.3842406606475,35986.29622665,18418.4407050945,27186.0110584965,5895760031.0
86,60,1,SUB,232652,60_1,232652,251.15950149780002,475.9367024181,863.2288748958,26.69888818443,23216.4245082,11882.588180105999,17538.953423921997,3803627548.0
88,60,2,SUB,657353,60_2,657353,709.64552975295,1344.748461842775,2439.0337955374503,75.43710883508251,65597.48594355,33573.98598747149,49555.91892644549,10747064197.0
91,79,1,SUB,25530,79_1,25530,26.402893676999998,50.2581397185,106.53799202999998,1.6918696343025001,2547.6476355,1357.20137673,70.1761121415,437354430.0
94,79,2,SUB,28916,79_2,28916,29.9046640644,56.9237903682,120.66794271599998,1.916259394653,2885.5377606,1537.204661556,79.4834492238,495359996.0
97,79,3,SUB,24406,79_3,24406,25.240463105399996,48.0454429287,101.847482706,1.6173823068855002,2435.4832821,1297.448366646,67.0864940433,418099186.0
101,79,5,SUB,147362,79_5,147362,152.4004394058,290.0955732549,614.949141462,9.765659735608502,14705.305556700001,7833.917323842001,405.0643257891,2524458422.0
103,87,1,SUB,817932,87_1,817932,1068.5025236447998,853.3179876329999,6025.167008330399,15.21132064911,81621.7205562,50160.257359992,347.26332018456,15638859840.0
108,108,SGU1,SUB,878595,108_SGU1,878595,864.1627572337031,1580.728467552953,3121.6621152091934,91.95032354140362,89382.27840451614,43730.1401287242,52250.30622119722,14490029915.49285
