,Plant_ID,Boiler_ID,Fuel,Coal_Consumption,Plant_Boiler,Coal,Share_Selenium,Share_Arsenic,Share_Lead,Share_Mercury,Share_Chloride,Share_Boron,Share_Bromide,Share_Heat
1,3,1,BIT,0,3_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2,BIT,0,3_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,3,BIT,47895,3_3,47895,149.85680109043878,1403.8041205747215,509.2140064767118,8.11086222231122,29949.288420684064,1724.714801651982,815.4220987655239,1192367317.666291
7,3,4,BIT,751333,3_4,751333,2350.8165765462504,22021.596436449887,7988.084082433809,127.23579593017551,469817.0731178165,27055.749996233193,12791.596862549271,18704769054.8944
9,3,5,BIT,1354720,3_5,1354720,4238.73067278921,39706.89045255218,14403.223694626391,229.41741872449018,847121.8291944695,48783.91556726116,23064.38303872284,33726356667.478397
19,7,1,BIT,8217,7_1,8217,25.709851436687245,240.8405566084662,87.3621774970068,1.3915221814538323,5138.1835881148545,295.8968895536974,139.89609323637768,204565868.0293123
22,7,2,BIT,0,7_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,10,BIT,1603643,8_10,1603643,3323.245958220574,66914.73629880713,19571.404405812456,235.9362280684065,437380.29869269737,43590.2657428241,7936.561202486109,42119668704.50293
27,8,6,BIT,2825,8_6,2825,5.854276688747509,117.87793794761686,34.47726049153096,0.4156285683866349,770.4952684649077,76.78922348894241,13.981157525099576,74198599.12101433
29,8,7,BIT,6505,8_7,6505,13.48037871161152,271.4322075572558,79.38923168049872,0.957049145966393,1774.184680128929,176.81907921967095,32.193780425052296,170853765.40962768
31,8,8,BIT,168504,8_8,168504,349.1925802338797,7031.1164799735325,2056.4801068548436,24.79117744687488,45958.06538669409,4580.280111426815,833.9401655254438,4425756016.38492
33,8,9,BIT,166274,8_9,166274,344.57132819285073,6938.065930726388,2029.2644286615289,24.463088346874102,45349.85142256073,4519.664193416074,822.9037119746573,4367185086.813288
35,10,1,BIT,487895,10_1,487895,1435.2692486161832,40961.69251407665,3377.535575907022,103.32822085499346,92469.91877289447,11197.682413023376,3893.553379714209,12124418051.670588
37,10,1,SUB,0,10_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,10,2,BIT,468175,10_2,468175,1377.2577715920056,39306.081006728564,3241.020543867574,99.15184578400387,88732.42033941702,10745.088520516134,3736.1816652101375,11634366864.470587
40,10,2,SUB,0,10_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,26,1,BIT,128933,26_1,128933,305.0486595103198,1893.4342765907957,3212.8347673760245,11.6383617385614,60293.6903897873,13024.477102363999,1085.529695201551,3019510593.1352177
44,26,2,BIT,208930,26_2,208930,494.31733095089015,3068.223212118813,5206.251060224092,18.859430231497235,97703.15383290748,21105.566464729047,1759.0509739047418,4892978122.154461
47,26,3,BIT,134943,26_3,134943,319.26800167762394,1981.693605097157,3362.5957824142997,12.180864852959994,63104.18172437675,13631.591707509368,1136.1298787710123,3160260119.360022
50,26,4,BIT,62433,26_4,62433,147.71317629472514,916.8543521859659,1555.745333092283,5.635623451122706,29195.90773584412,6306.819657743879,525.6441365710751,1462132307.952278
53,26,5,BIT,2260448,26_5,2260448,5348.100426522174,33195.61108212103,56327.28567741074,204.04327453179278,1057066.4752562486,228344.59150942348,19031.461522332964,52937934285.49182
56,47,1,BIT,333710,47_1,333710,2415.0410246581955,6604.581482033801,3197.822087375715,68.23156114078881,229147.5133011889,11938.75794303597,5536.835469550304,8109309824.654414
58,47,1,SUB,0,47_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,47,2,BIT,321647,47_2,321647,2327.741753193595,6365.838062844164,3082.2267266133367,65.76511625738307,220864.25402531392,11507.193899204969,5336.689096144696,7816173255.732878
61,47,2,SUB,0,47_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,47,3,BIT,357478,47_3,357478,2587.0487411607755,7074.983006306311,3425.5822245389586,73.09125292465586,245468.20520776242,12789.078277428343,5931.188367096891,8686883394.257921
64,47,3,SUB,0,47_3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,47,4,BIT,359584,47_4,359584,2602.2897480168185,7116.66365297906,3445.7632599170215,73.52185334946333,246914.3250813422,12864.42221146698,5966.130608860317,8738060183.957727
67,47,4,SUB,0,47_4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,47,5,BIT,0,47_5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,50,7,BIT,781803,50_7,781803,2031.920153688015,15933.466877628261,15131.848879627489,58.917713673206926,359024.91375541815,83620.75395387971,4887.901396430679,16627752504.48979
72,50,8,BIT,0,50_8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,51,1,LIG,3593100,51_1,3593100,12777.65718012,11245.642161074999,3057.510825243,420.48922863150005,704074.987476,213830.18138159998,28065.211306334997,57166221000.0
77,56,1,BIT,3508,56_1,3508,8.754852994852781,60.46768773307308,100.80897219813961,0.2505716772906659,1722.0708234855217,393.3185559921819,18.01012811296288,76426424.43119282
79,56,2,BIT,502928,56_2,502928,1255.1484341491791,8669.011760609741,14452.581177213786,35.923464229315854,246886.44102449447,56388.51617104791,2582.040396692188,10956952333.617714
81,56,3,BIT,302119,56_3,302119,753.9929965655438,5207.6503278872015,8681.957203970851,21.579949991841133,148309.66793632336,33873.71973141449,1551.0837786089603,6582062406.706825
84,59,1,SUB,360619,59_1,360619,471.68936945748356,1744.5519332708445,1930.8628032806369,48.5427586779823,36848.05232254317,18059.438659005667,27186.0110584965,5919200266.0
86,60,1,SUB,232652,60_1,232652,304.3086337187515,1125.4911593103204,1245.6889207414106,31.31717932762815,23772.383232564876,11650.97935187826,17538.953423921997,3818749928.0
88,60,2,SUB,657353,60_2,657353,859.8172089684268,3180.0499890227343,3519.666063975931,88.48598672074321,67168.33483089,32919.58044588153,49555.91892644549,10789792142.0
91,79,1,SUB,25530,79_1,25530,40.56199116300999,151.88329893909244,237.78061441951309,2.434276474542294,3554.0332661672296,1674.2500190356257,196.265369737875,443555629.99999994
94,79,2,SUB,28916,79_2,28916,45.94165830276526,172.02731970712094,269.31704843535607,2.7571303775113583,4025.398586936609,1896.3029201110123,222.29570823895003,502383650.49275357
97,79,3,SUB,24406,79_3,24406,38.776183169777596,145.19638832383433,227.31193401968807,2.327103471902829,3397.561139603502,1600.5384239946525,187.62446587632502,424027368.02898544
101,79,5,SUB,147362,79_5,147362,234.12832517679118,876.6872972292417,1372.496157543607,14.050914604054114,20514.27536893597,9663.95735625256,1132.865547015775,2560252438.231884
103,87,1,SUB,817932,87_1,817932,1291.7942675906336,2542.365443991267,7111.8076920988,25.418158027753996,86678.41974217331,49759.01927240933,356.0802119237859,15309930000.888885
